pop	sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
lb	lb_f_258	19769539	16313808	0.825	7975809	1168224	1319779	591905	0	375823
lb	lb_f_260	14280654	11825765	0.828	5848714	916789	798199	442957	0	296944
lb	lb_f_261	23987762	19637930	0.819	9430781	1534594	1545762	792860	0	476616
lb	lb_f_262	4719831	3848844	0.815	1887657	319236	332875	129005	0	89871
lb	lb_f_263	16950641	14289667	0.843	7132843	1056873	846239	434069	0	323793
lb	lb_f_264	8517892	5416794	0.636	2822673	639514	1336383	272095	0	853106
lb	lb_f_265	17964380	14774363	0.822	7225009	1088628	1269401	493544	0	338444
lb	lb_f_266	16571729	13732604	0.829	6746428	969523	1136964	413643	0	318995
lb	lb_f_267	11785940	9577981	0.813	4766779	825564	735789	320974	0	325632
lb	lb_f_268	13114858	10916737	0.832	5397547	789211	715230	440620	0	253060
lb	lb_f_269	5909781	4885229	0.827	2416292	347529	352293	201479	0	123251
lb	lb_f_270	48511091	38961780	0.803	18513009	3082146	3802584	1717256	0	947325
lb	lb_f_271	17341310	14367689	0.829	7093589	1104846	977590	541869	0	349316
lb	lb_f_273	7852923	6388101	0.813	3082835	504356	591291	206616	0	162559
lb	lb_f_274	20461074	15088413	0.737	7341618	1900392	1551363	1196960	0	723946
lb	lb_f_275	15121338	11797057	0.780	5891484	1016141	1323800	352522	0	631818
lb	lb_f_276	16509844	13926040	0.843	6892737	903561	917168	436997	0	326078
lb	lb_f_277	17838892	13221740	0.741	6553905	1639091	1347436	1334623	0	296002
lb	lb_f_278	7883313	6583932	0.835	3253260	495800	423749	212063	0	167769
lb	lb_f_279	22667349	18607976	0.821	9154738	1450648	1507240	637270	0	464215
lb	lb_f_280	11585682	9598382	0.828	4778811	745300	712892	234592	0	294516
lb	lb_f_281	100435	73790	0.735	33859	6578	10211	7801	0	2055
lb	lb_f_282	59770	44183	0.739	20613	3652	6358	4563	0	1014
lb	lb_f_283	25832772	21734598	0.841	10765469	1525273	1404646	660055	0	508200
lb	lb_f_284	19397025	16097540	0.830	8005923	1288499	1076948	443701	0	490337
lb	lb_f_285	112705	89773	0.797	44717	6695	5993	8075	0	2169
lb	lb_f_286	5771041	3644346	0.631	1911680	410850	945606	177336	0	592903
lb	lb_f_287	15298514	12720002	0.831	6281969	980895	843366	405711	0	348540
lb	lb_f_288	16631241	13685878	0.823	6637039	1089439	1171088	404603	0	280233
lb	lb_f_289	52618	34570	0.657	16610	2840	3925	10399	0	884
lb	lb_f_290	4488450	3641392	0.811	1761896	301029	330739	119426	0	95864
lb	lb_f_291	83410	58339	0.699	27430	4902	7820	10617	0	1732
lb	lb_f_292	13864228	11790891	0.850	5829569	734624	732870	373505	0	232338
lb	lb_f_293	36806581	30421197	0.827	14891072	2266673	2453530	940138	0	725043
lb	lb_f_294	14638089	12241907	0.836	6046661	861262	807401	450842	0	276677
lb	lb_f_295	10308454	8549076	0.829	4275640	658731	606497	218558	0	275592
lb	lb_f_296	25851651	19889691	0.769	9800482	1847177	1813714	1867258	0	433811
lb	lb_f_297	15028334	12273921	0.817	6002826	904925	1019506	465780	0	364202
lb	lb_f_298	9890943	8422459	0.852	4203643	551156	473044	279153	0	165131
lb	lb_f_299	6225327	5178822	0.832	2549873	374125	369928	183243	0	119209
lb	lb_f_301	11291627	9434693	0.836	4675875	682775	644672	292816	0	236671
lb	lb_f_303	12887889	10650416	0.826	5300630	824088	807281	257077	0	349027
