sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_s_230	496129	6881780	13.871	14.928	805593	1654828	0.194
bb_s_231	427714	6102528	14.268	15.122	533407	1533735	0.201
bb_s_232	341711	3734713	10.929	11.342	311557	991333	0.210
bb_s_234	469100	2820557	6.013	6.375	516722	415403	0.128
bb_s_236	378951	6161471	16.259	17.218	786899	1732371	0.219
bb_s_237	487491	4542033	9.317	10.013	632820	1550511	0.254
bb_s_239	448682	1721102	3.836	4.043	292503	341765	0.166
bb_s_240	301664	547837	1.816	1.859	178839	730490	0.571
bb_s_241	434118	7004425	16.135	17.149	1318948	1558461	0.182
bb_s_242	493510	5577659	11.302	12.146	1126016	1142817	0.170
bb_s_243	269401	806750	2.995	3.144	322714	3143101	0.796
bb_s_244	217466	1264737	5.816	6.229	323738	1957136	0.607
bb_s_245	143293	385375	2.689	2.861	472149	2905294	0.883
bb_s_246	504745	11128964	22.049	23.998	1579904	4308331	0.279
bb_s_247	186532	505400	2.709	2.859	603865	3875269	0.885
bb_s_248	86838	214236	2.467	2.638	204638	1399489	0.867
bb_s_249	421270	5131710	12.182	12.854	672998	1642818	0.242
bb_s_25	459427	7091329	15.435	16.525	685666	1635425	0.187
bb_s_250	452457	2504373	5.535	5.891	415084	608703	0.196
bb_s_251	504044	6104419	12.111	13.089	899304	1478305	0.195
bb_s_252	500037	5616528	11.232	12.029	605212	1259149	0.183
bb_s_253	486256	4295282	8.833	9.434	552288	1101229	0.204
bb_s_254	383543	6928438	18.064	19.010	627767	3238990	0.319
bb_s_255	468984	2463284	5.252	5.530	208699	431144	0.149
bb_s_256	422256	1790190	4.240	4.485	319092	408529	0.186
bb_s_257	505856	8358856	16.524	18.101	1640319	2679003	0.243
bb_s_258	418199	3728775	8.916	9.352	493856	820953	0.180
bb_s_259	496520	6220293	12.528	13.520	1419499	1670160	0.212
bb_s_26	427870	3003686	7.020	7.370	260596	498550	0.142
bb_s_260	373362	5765462	15.442	16.181	561240	1612172	0.219
bb_s_261	507196	7652889	15.089	16.280	994858	1735938	0.185
bb_s_262	427227	1324552	3.100	3.229	357365	1949412	0.595
bb_s_263	416390	4807380	11.545	12.130	631230	1191213	0.199
bb_s_264	407701	2522173	6.186	6.438	290066	497224	0.165
bb_s_267	353887	2390146	6.754	6.968	241221	443535	0.157
bb_s_268	389583	6308253	16.192	17.057	597114	2553940	0.288
bb_s_269	483890	4139800	8.555	9.126	539197	1072608	0.206
bb_s_27	420494	5339442	12.698	13.595	658159	1271239	0.192
bb_s_271	494882	5854366	11.830	12.686	646986	1279872	0.179
bb_s_272	491322	5076948	10.333	11.074	530480	933205	0.155
bb_s_273	420154	2803044	6.671	6.957	488592	434440	0.134
bb_s_274	383373	8410462	21.938	23.225	951425	3389016	0.287
bb_s_275	189299	1188378	6.278	6.730	291903	1754191	0.596
bb_s_276	496007	3764235	7.589	8.040	447175	671954	0.151
bb_s_277	453343	1922436	4.241	4.494	635355	3571946	0.650
bb_s_279	387828	6561981	16.920	17.832	689487	2273238	0.257
bb_s_28	316022	1054244	3.336	3.405	122611	161774	0.133
bb_s_280	405618	4744500	11.697	12.303	566033	915381	0.162
bb_s_281	336917	2195461	6.516	6.693	176194	499001	0.185
bb_s_282	455528	1902146	4.176	4.382	235910	418436	0.180
bb_s_283	37660	39805	1.057	1.059	5834	2106	0.050
bb_s_284	32831	34475	1.050	1.052	6790	7674	0.182
bb_s_285	208	208	1.000	1.000	23	27	0.115
bb_s_287	416140	3559825	8.554	8.941	632178	569237	0.138
bb_s_288	410405	1205665	2.938	3.060	451174	1864245	0.607
bb_s_289	274991	1044522	3.798	4.043	503682	5078858	0.829
bb_s_29	457936	1890442	4.128	4.343	221461	407010	0.177
bb_s_290	499572	6097875	12.206	13.150	704424	2532130	0.293
bb_s_291	492556	5544015	11.256	12.130	1258823	1528483	0.216
bb_s_292	372975	941978	2.526	2.623	273129	1450393	0.606
bb_s_293	413439	4696977	11.361	11.980	554615	917618	0.163
bb_s_295	374580	6036759	16.116	16.938	550094	2651733	0.305
bb_s_296	387144	2185615	5.645	5.859	250682	354525	0.140
bb_s_297	433750	7039881	16.230	17.278	614152	1884764	0.211
bb_s_298	494539	6886800	13.926	15.023	1434606	1940672	0.220
bb_s_299	403090	3153080	7.822	8.143	293729	552447	0.149
bb_s_3	366245	5151692	14.066	14.691	611336	1444000	0.219
bb_s_30	524105	8093138	15.442	16.978	1279345	2112841	0.207
bb_s_300	476513	2402471	5.042	5.351	751191	4149793	0.633
bb_s_301	49255	53497	1.086	1.088	5408	1639	0.030
bb_s_303	356882	6760026	18.942	19.923	599690	2241994	0.249
bb_s_304	486348	3547305	7.294	7.746	599379	618493	0.148
bb_s_305	493939	8938889	18.097	19.498	1935671	2271227	0.203
bb_s_306	349509	2488867	7.121	7.347	291976	464833	0.157
bb_s_307	36729	39374	1.072	1.074	2982	1949	0.047
bb_s_309	492590	6361889	12.915	13.867	664837	1295109	0.169
bb_s_31	497888	5549397	11.146	12.100	611203	1614071	0.225
bb_s_311	495426	5381577	10.863	11.687	738320	1711006	0.241
bb_s_313	33000	35220	1.067	1.069	6788	1200	0.033
bb_s_314	488283	5239662	10.731	11.522	593808	1387869	0.209
bb_s_315	11886	12144	1.022	1.023	3192	3260	0.212
bb_s_316	470835	2318674	4.925	5.212	386764	394633	0.145
bb_s_317	487337	4334449	8.894	9.545	674664	1292514	0.230
bb_s_319	503187	9223024	18.329	19.541	779588	2626250	0.222
bb_s_320	384853	2511010	6.525	6.779	286493	386841	0.133
bb_s_321	28861	30128	1.044	1.046	4987	1452	0.046
bb_s_33	429842	4880060	11.353	12.015	451776	948762	0.163
bb_s_34	506157	7674628	15.163	16.434	778211	2004586	0.207
bb_s_35	479097	3845701	8.027	8.530	338305	743464	0.162
bb_s_37	500980	5602162	11.182	12.078	1021221	1146579	0.170
bb_s_39	461150	2876067	6.237	6.517	355358	671552	0.189
bb_s_4	361830	1363344	3.768	3.924	1562579	11430478	0.893
bb_s_40	511267	7235093	14.151	15.290	967474	1539251	0.175
bb_s_41	371532	6126287	16.489	17.430	656479	2086352	0.254
bb_s_42	409683	5327702	13.004	13.720	636644	1061768	0.166
bb_s_43	38307	43594	1.138	1.142	4538	4862	0.100
bb_s_44	370009	8229812	22.242	23.604	749933	2946988	0.264
bb_s_45	505601	6789342	13.428	14.596	902547	2274854	0.251
bb_s_46	74113	90575	1.222	1.227	9097	11069	0.109
bb_s_47	473645	4157297	8.777	9.323	495032	1041279	0.200
bb_s_48	503029	11950755	23.758	25.509	2076580	3337455	0.218
bb_s_5	490984	4936619	10.055	10.726	426450	1042912	0.174
bb_s_50	274707	4113050	14.972	16.438	1126969	8551551	0.675
bb_s_51	406959	6119569	15.037	15.830	800615	2109564	0.256
bb_s_52	480021	5738838	11.955	12.811	1191894	1185147	0.171
bb_s_53	383999	4062696	10.580	11.079	463439	897939	0.181
bb_s_54	484913	4888267	10.081	10.826	745642	1429806	0.226
bb_s_55	349689	4739363	13.553	14.143	466473	1433488	0.232
bb_s_56	491474	7019605	14.283	15.297	780273	1649345	0.190
bb_s_58	484925	6861088	14.149	15.191	729521	1466572	0.176
bb_s_6	414833	3547854	8.552	8.948	432621	827632	0.189
bb_s_60	500879	5686957	11.354	12.294	1265196	1171497	0.171
bb_s_62	422276	7091019	16.792	18.496	974150	2083576	0.227
bb_s_64	361265	3635461	10.063	10.756	379012	787758	0.178
bb_s_67	382043	3458682	9.053	9.804	325635	747623	0.178
bb_s_68	367231	4343861	11.829	12.352	787842	835686	0.161
bb_s_7	400826	6366810	15.884	16.733	657218	2002723	0.239
bb_s_70	505764	6109196	12.079	13.007	577098	1510096	0.198
bb_s_71	488399	4737650	9.700	10.399	661382	1357923	0.223
bb_s_75	492332	4525370	9.192	9.907	1444619	8917745	0.663
bb_s_77	481831	5598897	11.620	12.481	763030	1660514	0.229
bb_s_78	490735	6622540	13.495	14.466	615652	1652189	0.200
bb_s_79	309711	5769495	18.629	19.445	499018	1910393	0.249
bb_s_8	393077	5589562	14.220	14.926	760407	1926841	0.256
bb_s_80	310905	4875646	15.682	16.286	468298	1348274	0.217
bb_s_81	428064	7070039	16.516	17.529	1366758	1577067	0.182
bb_s_82	423048	4210779	9.953	10.517	488515	771671	0.155
bb_s_83	352728	6965828	19.748	20.749	704670	3173536	0.313
bb_s_84	426232	5171621	12.133	12.790	639414	1426129	0.216
bb_s_85	497649	8581154	17.243	18.601	798664	2235861	0.207
bb_s_86	499640	7578448	15.168	16.454	914375	2358079	0.237
bb_s_88	506762	7351789	14.507	15.753	1091153	1883744	0.204
bb_s_89	452445	4796435	10.601	11.360	854736	867987	0.153
bb_s_90	498501	5150082	10.331	11.120	916080	1182030	0.187
bb_s_92	418282	4280167	10.233	10.765	484807	855805	0.167
bb_s_93	411596	4584049	11.137	11.711	529163	877974	0.161
bb_s_94	487099	4433048	9.101	9.680	470721	1568506	0.261
bb_s_95	400348	7204185	17.995	19.133	606669	2016137	0.219
bb_s_96	516401	6410505	12.414	13.652	802966	1333960	0.172
bb_s_97	398852	1192734	2.990	3.109	430935	1802145	0.602
bb_s_98	325580	4786515	14.702	15.311	515286	1626187	0.254
bb_s_99	378828	6671778	17.612	18.527	601755	3015125	0.311
cl_f_1	198842	3141928	15.801	17.092	786603	5679154	0.644
cl_f_10	334213	7021027	21.008	21.983	654243	2531370	0.265
cl_f_100	483210	4139091	8.566	9.155	508729	932122	0.184
cl_f_101	358465	7012561	19.563	20.552	557823	2074564	0.228
cl_f_102	419107	6346537	15.143	15.965	658424	1987117	0.238
cl_f_104	499216	6858508	13.739	14.850	1276192	2093431	0.234
cl_f_105	432290	1775498	4.107	4.297	274718	237676	0.118
cl_f_106	357519	6061523	16.954	17.731	1112298	2039417	0.252
cl_f_107	470625	4027813	8.558	9.099	528839	1027331	0.203
cl_f_108	422246	4104197	9.720	10.213	537219	914314	0.182
cl_f_109	405898	6220407	15.325	16.137	852088	1447618	0.189
cl_f_11	506912	15092451	29.773	31.953	2747956	4887798	0.245
cl_f_110	502878	7365578	14.647	15.893	1184850	1924206	0.207
cl_f_112	405125	9349752	23.079	24.682	794991	2945605	0.240
cl_f_113	288809	1133693	3.925	4.169	560898	5646185	0.833
cl_f_114	400672	1068174	2.666	2.781	392308	1622416	0.603
cl_f_115	259262	980762	3.783	4.004	498807	4740419	0.829
cl_f_116	351308	6312172	17.968	18.802	505662	2419317	0.277
cl_f_117	450737	3044022	6.753	7.311	270893	507723	0.143
cl_f_118	503217	7446316	14.797	16.033	1367000	1993803	0.211
cl_f_119	505720	4979088	9.846	10.706	528078	949111	0.160
cl_f_12	483565	5085604	10.517	11.258	587756	1305889	0.204
cl_f_120	358396	6486040	18.097	18.888	633097	1933805	0.230
cl_f_121	431887	6465806	14.971	15.885	590037	1541763	0.193
cl_f_122	424866	4536148	10.677	11.296	519231	830438	0.155
cl_f_123	464856	1965105	4.227	4.475	287414	297988	0.132
cl_f_124	407156	1130728	2.777	2.890	413290	1667294	0.596
cl_f_125	428512	5417998	12.644	13.320	710405	1733571	0.242
cl_f_126	423814	6689395	15.784	16.664	601990	1619733	0.195
cl_f_128	480228	4376094	9.113	9.710	567684	1152465	0.208
cl_f_129	342919	5501351	16.043	16.734	426082	1954785	0.262
cl_f_13	357529	5267793	14.734	15.489	696872	1391562	0.209
cl_f_130	508918	12982587	25.510	27.376	2220649	4519748	0.258
cl_f_131	509263	6873437	13.497	14.581	1206620	1720387	0.200
cl_f_132	489699	4973269	10.156	10.844	544159	1401235	0.220
cl_f_133	433045	4599808	10.622	11.193	385634	1010872	0.180
cl_f_134	421825	4855670	11.511	12.119	559522	930396	0.161
cl_f_135	416498	5270749	12.655	13.375	670585	1699189	0.244
cl_f_136	486161	4549131	9.357	9.987	512603	1241567	0.214
cl_f_137	278345	969031	3.481	3.695	462464	4661493	0.828
cl_f_138	316308	3765494	11.905	12.315	352475	1359239	0.265
cl_f_139	447425	6956387	15.548	16.555	1283184	1509499	0.178
cl_f_14	380712	4409240	11.582	12.079	503581	1031838	0.190
cl_f_140	503658	6003384	11.920	12.901	1108375	1442441	0.194
cl_f_141	467290	2230415	4.773	5.046	724109	4100528	0.648
cl_f_142	486479	5286085	10.866	11.645	586034	1384818	0.208
cl_f_143	495202	6554918	13.237	14.231	748914	1532188	0.189
cl_f_144	427241	7422574	17.373	18.485	755059	1812377	0.196
cl_f_145	428046	5156536	12.047	12.712	602715	1189625	0.187
cl_f_146	496258	3725970	7.508	8.082	730190	2663065	0.417
cl_f_148	500592	4940653	9.870	10.422	460677	933214	0.159
cl_f_149	489069	4748033	9.708	10.357	719561	872642	0.155
cl_f_15	358120	7711418	21.533	22.632	644048	2388415	0.236
cl_f_151	509770	9363953	18.369	19.870	1228192	2279384	0.196
cl_f_152	492801	6034924	12.246	13.162	919715	1880525	0.238
cl_f_154	447101	6787130	15.180	16.159	1319870	1436295	0.175
cl_f_155	477350	2582557	5.410	5.763	616813	2947538	0.533
cl_f_156	387367	5303298	13.691	14.382	707551	1173596	0.181
cl_f_157	490437	5470844	11.155	11.974	725397	1543847	0.220
cl_f_159	491587	4956358	10.082	10.854	646644	1532907	0.236
cl_f_16	411457	4874363	11.847	12.436	641242	1338992	0.216
cl_f_160	374418	5237467	13.988	14.653	682737	1339894	0.204
cl_f_161	478041	3823278	7.998	8.476	553965	648701	0.145
cl_f_164	434194	4869166	11.214	11.914	600314	1284397	0.209
cl_f_165	326396	4743802	14.534	15.117	457500	1873093	0.283
cl_f_166	360955	8572650	23.750	25.085	782345	3240347	0.274
cl_f_167	391656	5379408	13.735	14.825	479619	2229872	0.293
cl_f_169	435746	6430326	14.757	15.701	617099	1435881	0.183
cl_f_17	469059	7233332	15.421	16.453	812817	1842351	0.203
cl_f_170	323794	3784725	11.689	12.119	414866	1224708	0.244
cl_f_171	435353	5606242	12.877	13.711	672435	1192894	0.175
cl_f_172	271445	904138	3.331	3.506	389717	3825973	0.809
cl_f_173	387651	6253392	16.131	16.978	649978	2105434	0.252
cl_f_174	433569	4619665	10.655	11.265	553568	925535	0.167
cl_f_175	469692	2162976	4.605	4.881	670917	3749636	0.634
cl_f_176	431580	7242548	16.781	17.806	712272	1736177	0.193
cl_f_177	403896	6479015	16.041	16.873	597895	1556572	0.194
cl_f_178	481675	4160775	8.638	9.226	586331	1199863	0.224
cl_f_179	482513	5186657	10.749	11.456	464886	1156676	0.182
cl_f_18	304765	4406926	14.460	15.018	605959	994834	0.184
cl_f_180	436426	6570341	15.055	15.993	898871	1777736	0.213
cl_f_181	473148	3502094	7.402	7.842	294161	659411	0.158
cl_f_182	467184	2624610	5.618	6.008	502920	419115	0.138
cl_f_183	477270	4378034	9.173	9.815	885946	836094	0.160
cl_f_184	488493	4594604	9.406	10.073	514946	934912	0.169
cl_f_185	340489	5958735	17.501	18.285	507648	1894826	0.241
cl_f_186	436759	5210013	11.929	12.631	606918	1239318	0.192
cl_f_187	469702	2385792	5.079	5.385	726806	4105323	0.632
cl_f_188	392812	3804355	9.685	10.113	405106	909818	0.193
cl_f_189	166	166	1.000	1.000	20	16	0.088
cl_f_19	460931	4632961	10.051	10.690	679834	1417996	0.234
cl_f_190	489043	5433891	11.111	11.933	576532	1059373	0.163
cl_f_191	422792	4212417	9.963	10.558	493478	830952	0.165
cl_f_192	486568	4776728	9.817	10.541	506016	936967	0.164
cl_f_193	410245	4578675	11.161	11.725	622228	1098645	0.194
cl_f_194	491626	6346369	12.909	13.860	736513	1471772	0.188
cl_f_195	400114	3526009	8.813	9.174	419190	839510	0.192
cl_f_196	467484	6461486	13.822	14.721	1117900	1412571	0.179
cl_f_197	482273	4740832	9.830	10.542	672627	1667510	0.260
cl_f_198	279687	1467401	5.247	5.361	128032	399853	0.214
cl_f_199	485271	5940049	12.241	13.094	541536	1512687	0.203
cl_f_2	513502	9670320	18.832	20.370	1256151	2319337	0.193
cl_f_20	469075	3364821	7.173	7.644	640469	2383838	0.415
cl_f_200	46677	50675	1.086	1.088	5398	1197	0.023
cl_f_201	391707	9706671	24.780	26.459	802848	3250916	0.251
cl_f_202	396253	5465643	13.793	14.520	714773	1205748	0.181
cl_f_203	499313	8183244	16.389	17.699	1553861	2615128	0.242
cl_f_204	486001	6987191	14.377	15.399	744297	1526480	0.179
cl_f_205	431383	4519564	10.477	11.203	556323	1178538	0.207
cl_f_206	308368	3193062	10.355	10.706	289853	1086611	0.254
cl_f_207	41086	43770	1.065	1.068	13125	1167	0.026
cl_f_208	400033	4277739	10.693	11.202	518617	982788	0.187
cl_f_209	346788	4878226	14.067	14.659	525544	1662598	0.254
cl_f_21	444206	2702423	6.084	6.373	893732	5173433	0.657
cl_f_210	475615	4066940	8.551	9.082	362516	822806	0.168
cl_f_211	503090	11604806	23.067	24.837	2046768	3912956	0.252
cl_f_212	372548	2519008	6.762	6.999	319116	432201	0.146
cl_f_213	447242	1857140	4.152	4.356	232516	416178	0.183
cl_f_214	457553	2139445	4.676	4.939	274757	631797	0.228
cl_f_215	385576	2059045	5.340	5.523	236826	333178	0.139
cl_f_216	486047	5603540	11.529	12.320	626976	1653785	0.228
cl_f_217	491336	5626298	11.451	12.334	652994	1446527	0.205
cl_f_218	360350	6281018	17.430	18.374	527521	1943324	0.236
cl_f_22	320158	4292245	13.407	13.892	494218	1072777	0.200
cl_f_220	200418	965453	4.817	5.242	213167	1253889	0.565
cl_f_221	417147	6480715	15.536	16.396	792396	1698311	0.208
cl_f_222	490366	5160117	10.523	11.261	589310	1097932	0.175
cl_f_223	144116	406156	2.818	3.006	499195	3152531	0.886
cl_f_224	482210	6303845	13.073	14.028	1330879	1334335	0.175
cl_f_225	480840	3350236	6.967	7.408	359328	822629	0.197
cl_f_226	441190	6818934	15.456	16.398	1245539	1471709	0.178
cl_f_227	379040	6845454	18.060	18.989	711991	2399122	0.260
cl_f_228	480468	4434987	9.231	9.913	818184	1073837	0.195
cl_f_229	338875	4451650	13.137	13.645	473444	1479999	0.250
cl_f_230	428064	5877397	13.730	14.482	678389	1234994	0.174
cl_f_231	419558	3989779	9.509	9.978	447571	884545	0.181
cl_f_232	424289	4432240	10.446	11.013	524903	902518	0.169
cl_f_233	289350	1053285	3.640	3.870	501447	4905679	0.823
cl_f_234	484584	4045426	8.348	8.961	538775	1216072	0.231
cl_f_235	401985	2897466	7.208	7.501	336916	660407	0.186
cl_f_236	470427	2604763	5.537	5.849	258448	550286	0.174
cl_f_237	425081	6258299	14.723	15.555	645985	1899644	0.233
cl_f_238	498830	7763815	15.564	16.677	1224620	1745949	0.184
cl_f_239	441015	6292388	14.268	15.143	608924	1638307	0.207
cl_f_24	495221	8269375	16.698	20.113	661619	2405701	0.225
cl_f_240	453516	2329512	5.137	5.413	478430	398503	0.146
cl_f_241	430173	6640572	15.437	16.405	849529	1774715	0.211
cl_f_242	416825	4394192	10.542	11.072	508775	829738	0.159
cl_f_243	427766	7457340	17.433	18.493	786365	2469391	0.249
cl_f_244	406154	5218091	12.848	13.489	664410	1720672	0.248
cl_f_245	501652	7320489	14.593	15.700	929201	1602674	0.180
cl_f_246	364814	6007929	16.468	17.260	576329	2469188	0.291
cl_f_249	460150	2481806	5.393	5.749	476726	406632	0.141
cl_f_25	459526	2116600	4.606	4.863	695530	3854713	0.646
cl_f_250	496092	10619142	21.406	22.959	1001714	3117536	0.227
cl_f_251	494944	6547356	13.228	14.251	1378659	1467068	0.183
cl_f_252	497831	7522353	15.110	16.191	1309565	1658732	0.181
cl_f_253	416887	4802287	11.519	12.130	563355	930169	0.162
cl_f_254	398343	2176858	5.465	5.663	270971	504373	0.188
cl_f_256	437922	5518772	12.602	13.332	643087	1355492	0.197
cl_f_257	412032	5293555	12.847	13.525	633622	1074787	0.169
cl_f_258	503172	7820790	15.543	16.794	1188608	2072913	0.210
cl_f_259	366340	6804203	18.573	19.502	909169	2076260	0.234
cl_f_26	489142	4280472	8.751	9.323	648936	761254	0.151
cl_f_260	40404	43468	1.076	1.078	5732	1110	0.025
cl_f_261	280065	997443	3.561	3.775	482598	4706743	0.825
cl_f_262	386626	1015786	2.627	2.727	349659	1522126	0.600
cl_f_263	498586	6045393	12.125	13.063	925232	1436611	0.192
cl_f_264	408922	4967019	12.147	12.779	596532	1193425	0.194
cl_f_265	482642	3806459	7.887	8.410	419372	887345	0.189
cl_f_267	429090	1640974	3.824	4.002	339002	245962	0.130
cl_f_268	11312	11502	1.017	1.018	1845	589	0.049
cl_f_269	422352	1579093	3.739	3.908	352075	1553183	0.496
cl_f_27	492799	5353408	10.863	11.632	624360	1177355	0.180
cl_f_270	436949	2005043	4.589	4.863	359237	469390	0.190
cl_f_271	489534	6337935	12.947	13.897	1405664	1342846	0.175
cl_f_272	485875	3391528	6.980	7.442	684015	2444897	0.419
cl_f_273	378180	7018868	18.560	19.546	795137	2054890	0.226
cl_f_274	371171	4710400	12.691	13.273	620836	1007354	0.176
cl_f_275	320093	3247550	10.146	10.476	271890	815827	0.201
cl_f_276	457339	2722435	5.953	6.288	370420	668975	0.197
cl_f_277	341408	5506721	16.129	16.832	485921	1676758	0.233
cl_f_278	172799	644293	3.729	4.045	702077	5338488	0.892
cl_f_279	489633	5086759	10.389	11.155	1170857	1307119	0.204
cl_f_28	403807	8064795	19.972	21.119	1138860	2210246	0.215
cl_f_280	331960	2878796	8.672	8.939	260364	591059	0.170
cl_f_281	366519	6056693	16.525	17.312	797218	1737786	0.223
cl_f_282	354838	3627377	10.223	10.635	643284	1022652	0.220
cl_f_283	365674	6201213	16.958	17.783	566183	2762332	0.308
cl_f_284	16211	16593	1.024	1.024	5061	748	0.043
cl_f_285	359136	6464264	17.999	18.864	721527	1828858	0.221
cl_f_286	498089	6569936	13.190	14.178	901500	2043638	0.237
cl_f_287	408590	1232195	3.016	3.133	462469	1914909	0.608
cl_f_288	476202	4048658	8.502	9.097	580101	1100732	0.214
cl_f_289	319189	6569454	20.582	21.573	586061	2293291	0.259
cl_f_29	407109	5106787	12.544	13.152	628019	1227408	0.194
cl_f_290	30319	32189	1.062	1.063	2899	1197	0.036
cl_f_291	498564	5199354	10.429	11.047	585119	1908339	0.268
cl_f_292	349826	4982608	14.243	14.821	656685	1278554	0.204
cl_f_293	373082	8502624	22.790	24.111	692899	2687036	0.240
cl_f_294	403717	5462677	13.531	14.207	459688	1305795	0.193
cl_f_295	505236	9064929	17.942	19.283	1178942	2149193	0.192
cl_f_296	467515	4312978	9.225	9.808	433841	797940	0.156
cl_f_297	455307	2120330	4.657	4.889	218875	575433	0.213
cl_f_298	134536	810619	6.025	6.385	197668	1140320	0.584
cl_f_299	172147	2204606	12.807	13.762	517166	3557712	0.617
cl_f_3	474778	5030812	10.596	11.326	759799	1503907	0.230
cl_f_30	485757	6680373	13.752	14.740	706742	1422669	0.176
cl_f_300	491786	5215404	10.605	11.421	1113043	1429134	0.215
cl_f_301	494240	6218244	12.581	13.503	664792	1281485	0.171
cl_f_302	390588	5258796	13.464	14.124	451336	1261749	0.194
cl_f_303	348092	4925751	14.151	14.785	466993	1892173	0.278
cl_f_304	465242	2424643	5.212	5.473	246730	438373	0.153
cl_f_306	380721	4504468	11.831	12.370	543475	1072760	0.192
cl_f_307	501557	8222758	16.394	17.692	1249929	2197289	0.211
cl_f_308	434726	6830353	15.712	16.678	677177	1586507	0.188
cl_f_309	52015	56723	1.091	1.093	8705	1344	0.023
cl_f_31	345746	4333689	12.534	13.045	794328	1323194	0.234
cl_f_310	2230	2244	1.006	1.007	322	228	0.092
cl_f_312	493542	4507390	9.133	9.820	663020	1578733	0.259
cl_f_313	417442	4573624	10.956	11.515	417469	1027388	0.183
cl_f_314	439617	1704805	3.878	4.060	207068	439216	0.205
cl_f_316	463348	2048326	4.421	4.625	213707	402471	0.164
cl_f_317	496198	6134927	12.364	13.100	475903	1388534	0.185
cl_f_318	385700	2212962	5.738	5.944	279843	392158	0.151
cl_f_319	333200	2115358	6.349	6.528	356677	483792	0.186
cl_f_32	339761	5878426	17.302	18.025	582086	1679136	0.222
cl_f_320	395762	3807045	9.620	10.059	443378	740853	0.163
cl_f_321	488223	5246538	10.746	11.516	554593	1020547	0.163
cl_f_322	501248	7564627	15.092	16.235	876519	1933633	0.204
cl_f_323	476717	3887997	8.156	8.783	556909	880461	0.185
cl_f_324	100886	620589	6.151	6.477	129490	711780	0.534
cl_f_325	413688	1436041	3.471	3.639	231535	189458	0.117
cl_f_328	395814	3033959	7.665	7.971	353507	595410	0.164
cl_f_329	289161	1013746	3.506	3.723	479710	4797397	0.826
cl_f_33	510703	10691470	20.935	22.637	992684	3367837	0.240
cl_f_330	21758	28733	1.321	1.366	6800	7668	0.211
cl_f_332	410192	5848387	14.258	15.014	602886	1801953	0.236
cl_f_333	484302	5904748	12.192	13.015	553884	1388460	0.190
cl_f_334	410266	5260815	12.823	13.453	617481	1044823	0.166
cl_f_335	452134	2026446	4.482	4.731	461397	447874	0.181
cl_f_336	400357	6447827	16.105	16.937	548021	1706215	0.209
cl_f_337	410326	5240559	12.772	13.408	672087	1729495	0.248
cl_f_338	492202	5328348	10.826	11.483	750482	1028794	0.162
cl_f_339	382545	1836930	4.802	4.953	144316	320254	0.148
cl_f_34	485702	5431377	11.183	12.019	801441	1561120	0.223
cl_f_341	386871	8758476	22.639	24.002	723042	2752791	0.239
cl_f_342	493355	4608805	9.342	10.053	729676	1354471	0.227
cl_f_343	462049	2576503	5.576	5.901	252506	383851	0.130
cl_f_344	399591	4532931	11.344	11.845	482237	1143699	0.201
cl_f_345	122989	307894	2.503	2.627	345332	2266559	0.880
cl_f_346	480155	2845148	5.925	6.272	309941	582366	0.170
cl_f_347	380729	6723470	17.659	18.611	1258262	2349091	0.259
cl_f_348	405186	6418752	15.841	16.678	594880	1539097	0.193
cl_f_349	405308	3429351	8.461	8.842	318235	600715	0.149
cl_f_35	520583	9328659	17.920	19.731	1548317	2671843	0.223
cl_f_350	370460	3657873	9.874	10.270	317039	1289323	0.261
cl_f_351	491695	4844663	9.853	10.508	776708	836640	0.147
cl_f_352	317793	2099094	6.605	6.788	217604	375365	0.152
cl_f_353	461384	2312586	5.012	5.555	251449	389260	0.144
cl_f_355	441841	1872938	4.239	4.455	314503	357259	0.160
cl_f_356	392178	4004033	10.210	10.655	357374	854626	0.176
cl_f_357	339001	3332365	9.830	10.171	350843	1043343	0.238
cl_f_36	403069	5628823	13.965	14.646	482604	1382626	0.197
cl_f_37	496977	7284716	14.658	15.877	1339485	2062728	0.221
cl_f_38	489873	5090680	10.392	11.168	679989	1602236	0.239
cl_f_39	487584	4518681	9.267	9.940	721772	1327786	0.227
cl_f_40	486605	5170678	10.626	11.344	582230	1443824	0.218
cl_f_41	445378	7866780	17.663	18.788	758231	2024037	0.205
cl_f_42	348760	6480515	18.582	19.414	523938	2541919	0.282
cl_f_43	487366	5497339	11.280	12.031	610603	1209112	0.180
cl_f_44	369018	6636906	17.985	18.841	578570	1854240	0.218
cl_f_45	148874	496927	3.338	3.625	635063	3910229	0.887
cl_f_46	426674	5991891	14.043	14.833	1136502	1233099	0.171
cl_f_47	407608	8373180	20.542	21.725	709115	2459425	0.227
cl_f_5	401064	7563220	18.858	19.870	753803	1942011	0.204
cl_f_50	521288	6934222	13.302	14.862	821703	1610354	0.188
cl_f_51	1111	1115	1.004	1.004	203	178	0.138
cl_f_52	470953	2763727	5.868	6.217	658997	3182129	0.535
cl_f_53	479587	4490733	9.364	10.007	496048	1139867	0.202
cl_f_54	319827	4486889	14.029	14.568	586330	1188651	0.209
cl_f_55	416470	6737771	16.178	17.051	1296207	1496145	0.182
cl_f_56	465415	4749194	10.204	10.893	668396	1690640	0.263
cl_f_59	463980	3407791	7.345	7.658	414304	806851	0.191
