sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_195	445950	4757239	10.668	11.328	540347	1064227	0.183
bb_f_196	520660	8496402	16.319	17.963	1080969	1960136	0.187
bb_f_197	364229	5111327	14.033	14.686	540958	1693855	0.249
bb_f_198	28363	29495	1.040	1.042	12148	894	0.029
bb_f_199	473517	2546776	5.378	5.677	239342	653802	0.204
bb_f_2	420492	4609570	10.962	11.505	423977	1011099	0.180
bb_f_20	498558	6584287	13.207	14.272	702148	1420596	0.177
bb_f_200	415111	1820828	4.386	4.628	370506	359869	0.165
bb_f_201	402599	6111080	15.179	16.003	811915	1429576	0.190
bb_f_202	482266	4915755	10.193	10.862	772825	889014	0.153
bb_f_203	479681	4483740	9.347	9.971	578327	1191500	0.210
bb_f_204	389749	5996296	15.385	16.176	785589	1421552	0.192
bb_f_205	491492	3798689	7.729	8.262	413928	747178	0.164
bb_f_206	421373	5035144	11.949	12.606	587624	1195078	0.192
bb_f_207	498448	7040080	14.124	15.237	812229	1657230	0.191
bb_f_208	420536	4370716	10.393	10.933	483103	809662	0.156
bb_f_209	505785	7623203	15.072	16.245	877090	1994614	0.207
bb_f_21	498550	8382554	16.814	18.198	1850803	2437699	0.225
bb_f_210	351521	4375052	12.446	12.946	404426	1081538	0.198
bb_f_211	493510	4750442	9.626	10.329	547046	998905	0.174
bb_f_212	425023	6243308	14.689	15.571	602014	1416175	0.185
bb_f_213	478579	3224747	6.738	7.180	764851	3816034	0.542
bb_f_214	224897	636195	2.829	2.966	276463	2500357	0.797
bb_f_215	34421	36031	1.047	1.049	8852	1289	0.035
bb_f_216	296391	1734094	5.851	6.000	289417	392988	0.185
bb_f_217	329035	4061926	12.345	12.809	442764	1055902	0.206
bb_f_218	450351	1932745	4.292	4.548	473982	2138097	0.525
bb_f_22	342288	5123467	14.968	15.609	584566	1910215	0.272
bb_f_221	490984	4417455	8.997	9.702	578439	1357222	0.235
bb_f_222	466950	6331335	13.559	14.559	1283460	1896427	0.230
bb_f_223	393673	3710114	9.424	9.973	277022	764163	0.171
bb_f_224	16187	16590	1.025	1.026	2549	870	0.050
bb_f_225	497094	6479794	13.035	13.976	717528	2021758	0.238
bb_f_226	424443	1265716	2.982	3.120	474498	1989516	0.611
bb_f_227	494603	6004799	12.141	13.085	1064812	1503600	0.200
bb_f_229	371208	6893549	18.571	19.512	700929	2142522	0.237
bb_f_23	373042	5266853	14.119	14.753	598965	1451729	0.216
bb_f_230	458317	2485673	5.423	5.739	472305	707084	0.221
bb_f_231	464006	2134450	4.600	4.857	206220	313840	0.128
bb_f_232	180799	606213	3.353	3.617	748551	4753111	0.887
bb_f_233	507077	10030005	19.780	21.293	1571239	2558111	0.203
bb_f_234	368285	5482576	14.887	15.586	553370	1800123	0.247
bb_f_235	418871	4533509	10.823	11.376	580378	1381317	0.234
bb_f_236	485685	4470627	9.205	9.866	492101	1125030	0.201
bb_f_237	442390	1773540	4.009	4.243	577274	3204437	0.644
bb_f_238	382879	1071973	2.800	2.903	178462	136108	0.113
bb_f_239	424281	1367530	3.223	3.360	379698	1994865	0.593
