sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
bb_s_133	483668	3131781	6.475	6.808	648920	2261001	0.419	14835857	11879659	0.801	5837957	961681	1121732	428910	0	443875
bb_s_135	460002	2097898	4.561	4.748	682534	3856868	0.648	17220398	13263073	0.77	6625773	1299846	1512796	427937	0	716746
bb_s_141	505497	12366239	24.464	26.004	1625115	4909049	0.284	45240265	37417012	0.827	18516609	2865574	2877444	1279560	0	800675
bb_s_143	490049	5641887	11.513	12.134	718663	1818638	0.244	19651997	16114232	0.82	7935044	1322698	1272090	565818	0	377159
bb_s_151	472009	2231409	4.727	4.936	680655	3863489	0.634	17325552	13515467	0.78	6739914	1230480	1473476	434717	0	671412
bb_s_153	494789	6111065	12.351	13.044	639696	1281778	0.173	19164617	15943685	0.832	7911146	1257830	1017782	473401	0	471919
bb_s_159	439838	2371686	5.392	5.592	372652	565804	0.193	8209287	6525826	0.795	3215684	554660	630194	231568	0	267039
bb_s_167	443770	7206670	16.24	16.978	1307339	1611911	0.183	23654800	19363192	0.819	9237272	1488469	1530044	898149	0	374946
bb_s_170	492035	4002779	8.135	8.589	772990	2927058	0.422	18772442	15170472	0.808	7467645	1206736	1372923	533809	0	488502
bb_s_172	454694	2008999	4.418	4.595	485909	2248703	0.528	11913588	9429076	0.791	4685465	810859	958690	317293	0	397670
bb_s_175	475487	3545437	7.456	7.81	534879	925387	0.207	12215743	9865415	0.808	4859712	761113	895479	349947	0	343789
bb_s_18	475410	3654883	7.688	8.029	454499	1199150	0.247	12681113	10473332	0.826	5164800	766532	822831	369551	0	248867
bb_s_185	423709	6970162	16.45	17.18	638365	1733144	0.199	21930643	18580852	0.847	9239181	1352105	1056525	550182	0	390979
bb_s_193	491210	4870924	9.916	10.46	676672	1759163	0.265	17661544	14399001	0.815	7092242	1144770	1215879	484560	0	417334
bb_s_20	488872	4906726	10.037	10.554	665665	1377838	0.219	16850124	13731364	0.815	6781135	1089254	1149018	500692	0	379796
bb_s_204	492737	5665590	11.498	12.141	777544	2096195	0.27	20519100	16837772	0.821	8298443	1283147	1378169	554242	0	465770
bb_s_205	495711	5055376	10.198	10.779	674297	1617379	0.242	17684981	14473455	0.818	7126403	1164131	1183942	474244	0	389209
bb_s_206	54528	59277	1.087	1.089	6958	1305	0.022	173552	133016	0.766	65476	10887	11055	15058	0	3536
bb_s_207	443391	5638236	12.716	13.26	1032962	1140052	0.168	18233791	14930968	0.819	7119718	1082415	1218247	675060	0	327101
bb_s_209	499931	5057838	10.117	10.756	653380	1575175	0.237	17496800	14368180	0.821	7081787	1124622	1158766	465364	0	379868
bb_s_210	475843	2739893	5.758	6.016	653008	3192809	0.538	16424563	13098990	0.798	6513280	1095476	1305395	407663	0	517039
bb_s_216	464977	2270863	4.884	5.083	725974	4238368	0.651	18291196	14435649	0.789	7200444	1195962	1512030	449095	0	698460
bb_s_220	490091	6299054	12.853	13.528	677448	1788905	0.221	20801538	17433528	0.838	8668121	1312582	1094560	471342	0	489526
bb_s_225	500771	3974467	7.937	8.421	774147	2941110	0.425	18839455	15152033	0.804	7462309	1276864	1380135	515020	0	515403
bb_s_237	487491	4542033	9.317	9.808	632820	1550511	0.254	16272705	13256692	0.815	6531328	1076186	1111274	429218	0	399335
bb_s_241	434118	7004425	16.135	16.881	1318948	1558461	0.182	23000011	18853512	0.82	8971678	1359442	1557328	850166	0	379563
bb_s_246	504745	11128964	22.049	23.57	1579904	4308331	0.279	41064092	33639191	0.819	16621992	2685145	2742933	1128823	0	868000
bb_s_250	452457	2504373	5.535	5.76	415084	608703	0.196	8764276	6948406	0.793	3420246	567542	702066	231380	0	314882
bb_s_256	422256	1790190	4.24	4.388	319092	408529	0.186	6351586	4956218	0.78	2438407	429621	534142	168311	0	263294
bb_s_262	427227	1324552	3.1	3.188	357365	1949412	0.595	9255425	7257559	0.784	3626230	645708	781275	223790	0	347093
bb_s_273	420154	2803044	6.671	6.873	488592	434440	0.134	8720640	7121317	0.817	3395241	544739	584866	322922	0	146796
bb_s_277	453343	1922436	4.241	4.415	635355	3571946	0.65	15853910	12246872	0.772	6117135	1191226	1376882	365034	0	673896
bb_s_283	37660	39805	1.057	1.058	5834	2106	0.05	125960	92764	0.736	45019	8434	9691	12241	0	2830
bb_s_284	32831	34475	1.05	1.051	6790	7674	0.182	135950	96090	0.707	47151	9854	13738	10800	0	5468
bb_s_287	416140	3559825	8.554	8.829	632178	569237	0.138	11099831	9083471	0.818	4322231	687008	737808	414001	0	177543
bb_s_292	372975	941978	2.526	2.588	273129	1450393	0.606	6904860	5337287	0.773	2671787	511467	599345	162659	0	294102
bb_s_300	476513	2402471	5.042	5.268	751191	4149793	0.633	18461330	14544658	0.788	7241203	1215247	1535035	445072	0	721318
bb_s_311	495426	5381577	10.863	11.481	738320	1711006	0.241	18819326	15420678	0.819	7589775	1196540	1250526	521336	0	430246
bb_s_314	488283	5239662	10.731	11.289	593808	1387869	0.209	17332434	14346932	0.828	7125593	1180149	936016	410069	0	459268
bb_s_321	28861	30128	1.044	1.045	4987	1452	0.046	101316	70542	0.696	33975	6886	10242	11522	0	2124
bb_s_45	505601	6789342	13.428	14.348	902547	2274854	0.251	23947070	19636001	0.82	9669258	1551690	1574946	677229	0	507204
bb_s_68	367231	4343861	11.829	12.254	787842	835686	0.161	13996314	11395272	0.814	5427883	850173	962742	573557	0	214570
bb_s_75	492332	4525370	9.192	9.719	1444619	8917745	0.663	37658128	29700787	0.789	14813053	2614386	3075431	884912	0	1382612
bb_s_77	481831	5598897	11.62	12.22	763030	1660514	0.229	19321437	15847376	0.82	7824935	1199340	1319445	527743	0	427533
