sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
lb_f_197	467380	3550022	7.596	7.93	507567	941100	0.21	12264023	9878003	0.805	4879314	814027	904627	340707	0	326659
lb_f_202	493480	11327423	22.954	24.478	1584696	4489296	0.284	41665073	34429271	0.826	17027856	2409873	2824921	1173041	0	827967
lb_f_206	488560	4783138	9.79	10.319	655600	1724950	0.265	17309393	14134803	0.817	6971115	1099547	1194997	473583	0	406463
lb_f_214	452430	1795218	3.968	4.129	559947	3014241	0.627	13768538	10711187	0.778	5341781	948196	1185974	367953	0	555228
lb_f_220	490892	4688015	9.55	10.039	614978	1612266	0.256	16581763	13644106	0.823	6728847	993360	1127293	454309	0	362695
lb_f_226	501022	5155612	10.29	10.985	687254	1612772	0.238	18008110	14700809	0.816	7245171	1138595	1256038	504080	0	408588
lb_f_230	491670	5137309	10.449	11.013	657699	1638564	0.242	17808073	14657094	0.823	7223522	1136338	1171802	478700	0	364139
lb_f_232	410349	1232683	3.004	3.084	264600	1169963	0.487	6619983	5311053	0.802	2643807	396559	531769	167757	0	212845
lb_f_237	386719	1300288	3.362	3.458	238947	282208	0.178	4621969	3583336	0.775	1761893	316183	398284	120449	0	203717
lb_f_239	481663	2886319	5.992	6.292	566911	2039442	0.414	13427231	10818032	0.806	5325360	841820	1020333	364407	0	382639
lb_f_251	482677	4349492	9.011	9.442	483967	1062224	0.196	14052232	11723452	0.834	5827769	835527	797549	316208	0	379496
lb_f_253	468885	3250818	6.933	7.245	484517	837116	0.205	11125172	9024079	0.811	4451628	658305	828024	294526	0	320238
lb_f_255	459059	2087710	4.548	4.738	508786	2369278	0.532	12369696	9869943	0.798	4904169	770907	1007322	300496	0	421028
lb_f_256	461383	2236373	4.847	5.019	229265	446295	0.166	6945745	5793931	0.834	2881998	433846	380763	165860	0	171345
lb_f_275	449469	1881736	4.187	4.348	609004	3414833	0.645	15121338	11797057	0.78	5891484	1016141	1323800	352522	0	631818
lb_f_284	484779	5833203	12.033	12.643	651104	1607310	0.216	19397025	16097540	0.83	8005923	1288499	1076948	443701	0	490337
lb_f_305	485676	4045853	8.33	8.763	544276	1221703	0.232	14014108	11454062	0.817	5642230	865570	952511	422599	0	319366
lb_f_49	483351	3982183	8.239	8.64	432161	949325	0.193	12965236	10674528	0.823	5310859	908180	718359	337513	0	326656
lb_f_57	494615	6687504	13.521	14.317	760582	1902544	0.221	22315285	18593016	0.833	9242386	1375977	1244942	543249	0	558101
lb_f_81	428515	1285477	3	3.126	367651	2100583	0.62	9488027	7498477	0.79	3744766	610489	796827	235933	0	346301
lb_f_91	456666	1936004	4.239	4.402	612508	3490092	0.643	15292384	12051652	0.788	6013048	991538	1293921	366305	0	588968
lb_f_96	460693	2952960	6.41	6.68	454453	743174	0.201	10229429	8190292	0.801	4039705	645433	790209	279718	0	323777
lb_s_110	425220	6304989	14.828	15.486	1170486	1340129	0.175	20716794	16846348	0.813	8030744	1295514	1437209	786421	0	351302
lb_s_125	468624	2184293	4.661	4.853	669263	3688319	0.628	16747128	13050864	0.779	6508989	1155084	1467258	403520	0	670402
lb_s_129	457286	2379421	5.203	5.408	723868	4050432	0.63	18094260	14262375	0.788	7108654	1164455	1531436	438092	0	697902
lb_s_13	480626	3821096	7.95	8.329	512988	1138496	0.23	13206974	10778634	0.816	5306054	851160	898209	388141	0	290830
lb_s_135	472737	4218835	8.924	9.359	609019	1152242	0.215	14641364	11816715	0.807	5836619	934018	1084770	412897	0	392964
lb_s_138	487913	2942814	6.031	6.361	593734	2035705	0.409	13667983	10971698	0.803	5399445	844751	1048034	382827	0	420673
lb_s_148	454694	2022293	4.448	4.629	667388	3764563	0.651	16450333	12882747	0.783	6428503	1041680	1453013	392294	0	680599
lb_s_151	471229	2594142	5.505	5.761	643971	3009285	0.537	15739318	12420920	0.789	6173522	1077211	1313622	398901	0	528664
lb_s_159	499334	4559109	9.13	9.737	595513	1390042	0.234	15766488	12905423	0.819	6360759	1004616	1077757	423710	0	354982
lb_s_170	488685	3213617	6.576	6.928	606669	2239564	0.411	14838497	11951345	0.805	5891495	958404	1107650	423487	0	397611
lb_s_171	450703	1761386	3.908	4.06	543509	3109598	0.638	13763862	10828704	0.787	5414211	886729	1183428	311391	0	553610
lb_s_176	496323	5045366	10.165	10.769	543271	1008168	0.167	15786388	13103190	0.83	6506385	989652	897170	372406	0	423970
lb_s_184	449885	2277235	5.062	5.236	304271	535189	0.19	7571579	6161618	0.814	3044923	464782	542389	220947	0	181843
lb_s_19	493274	6670082	13.522	14.27	667227	1455661	0.179	20885118	17475768	0.837	8682798	1327940	1079457	541359	0	460594
lb_s_204	433916	7927938	18.271	19.091	1522466	1940245	0.197	26505834	21757116	0.821	10366467	1478553	1820418	976801	0	472946
lb_s_207	470188	4645901	9.881	10.361	696120	1310251	0.22	16171076	13125839	0.812	6473567	970849	1189154	438904	0	446330
lb_s_21	488949	5644159	11.543	12.159	617857	1543381	0.215	18728943	15533866	0.829	7728469	1222283	1024293	486414	0	462087
lb_s_211	494819	4219519	8.527	9.005	863968	3075131	0.422	19827496	16044178	0.809	7885560	1163235	1496491	551510	0	572082
lb_s_226	489923	3624545	7.398	7.815	756300	2631411	0.421	17299736	13803852	0.798	6791596	1134197	1347880	468711	0	545096
lb_s_231	409164	6907798	16.883	17.582	652423	1743788	0.202	21767223	18508233	0.85	9204224	1198449	1094526	564856	0	401159
lb_s_239	28956	30246	1.045	1.045	7795	5717	0.159	119669	83832	0.701	40074	7604	14971	10107	0	3155
lb_s_242	469654	2535843	5.399	5.599	835263	4786922	0.654	20690263	16277532	0.787	8119504	1390901	1724917	499954	0	796959
lb_s_245	443521	1719910	3.878	4.002	377242	1715855	0.499	9484251	7593673	0.801	3780666	600558	761408	237745	0	290867
lb_s_248	489325	4549560	9.298	9.715	519288	1333005	0.227	15145962	12634736	0.834	6232883	887276	957064	411638	0	255248
lb_s_257	493430	6140504	12.445	13.141	658607	1229815	0.167	19228527	15946268	0.829	7917342	1256139	1073890	442743	0	509487
lb_s_269	473053	3251125	6.873	7.171	344247	714445	0.18	10281775	8574210	0.834	4264393	632593	573254	241549	0	260169
lb_s_280	489826	5071129	10.353	10.905	651234	1570465	0.236	17536469	14375072	0.82	7082244	1156896	1173083	474723	0	356695
lb_s_292	453615	1895414	4.178	4.338	251126	552059	0.226	6575577	5326786	0.81	2628187	437494	464052	184068	0	163177
lb_s_295	492345	5128594	10.417	10.995	734083	1853892	0.266	18741977	15208917	0.811	7492348	1247076	1315965	513106	0	456913
lb_s_309	397630	1182522	2.974	3.054	330480	1721552	0.593	8265638	6462045	0.782	3227491	552458	718813	198870	0	333452
lb_s_313	448133	1722154	3.843	3.988	413342	1917811	0.527	10103211	8063014	0.798	4009707	621166	834366	247256	0	337409
lb_s_38	440087	1758046	3.995	4.134	520447	2912292	0.624	13270433	10358894	0.781	5168109	928905	1135114	326577	0	520943
lb_s_39	425727	6038818	14.185	14.783	567282	1396290	0.188	18918541	15920797	0.842	7918407	1167317	951359	514389	0	364679
lb_s_4	469026	3497364	7.457	7.785	479635	1174784	0.251	12401577	10156224	0.819	5004441	736569	855404	368619	0	284761
lb_s_41	503868	7611482	15.106	16.087	819540	1737277	0.186	24387367	20196141	0.828	10027842	1658370	1334010	598379	0	600467
lb_s_50	487018	5694194	11.692	12.298	581605	1154731	0.169	17636624	14758301	0.837	7327771	1108151	936033	419633	0	414506
lb_s_62	487005	4414471	9.065	9.524	510814	1098961	0.199	14601407	11977062	0.82	5952816	1001820	834879	376887	0	410759
lb_s_63	451497	1956145	4.333	4.499	647662	3583424	0.647	15830979	12354473	0.78	6167242	1051998	1391375	382586	0	650547
lb_s_72	507958	7034656	13.849	14.81	723031	1480766	0.174	21913870	18350051	0.837	9111598	1384393	1161469	506981	0	510976
lb_s_77	418131	7166034	17.138	17.863	722602	1897390	0.209	23253345	19455745	0.837	9669719	1409358	1259624	653001	0	475617
lb_s_80	441056	1676832	3.802	3.937	535540	2966297	0.639	13241654	10342821	0.781	5164152	883353	1154501	309343	0	551636
lb_s_82	422084	6686146	15.841	16.534	1249828	1485485	0.182	22126775	18007329	0.814	8585870	1384810	1512254	847839	0	374543
lb_s_90	387146	1622871	4.192	4.286	130845	238737	0.128	4720762	3970905	0.841	1978452	312014	231857	125810	0	80176
rs_f_10	481481	5200936	10.802	11.359	749258	1693040	0.246	18396916	15046220	0.818	7402986	1083028	1306295	535007	0	426366
rs_f_114	471423	2547952	5.405	5.648	768712	4508781	0.639	19725047	15613270	0.792	7787825	1301518	1632463	474333	0	703463
rs_f_115	445652	2005372	4.5	4.674	656685	3710190	0.649	16345569	12726473	0.779	6354226	1157173	1407893	383769	0	670261
rs_f_120	483826	16487150	34.077	36.946	2606009	8547653	0.341	67138549	54691696	0.815	27050884	4309162	4771598	1948484	0	1417609
rs_f_13	459659	2370121	5.156	5.39	798622	4497430	0.655	19706316	15316415	0.777	7650242	1361507	1734541	470541	0	823312
rs_f_130	497896	4879196	9.8	10.425	1413634	6062950	0.554	31412098	24514652	0.78	12158872	2137468	2735419	792161	0	1232398
rs_f_135	506211	12655432	25	26.86	1571863	4088093	0.244	43801128	36346430	0.83	18031042	2745591	2511262	1005465	0	1192380
rs_f_137	483696	3304529	6.832	7.199	972502	3931970	0.543	21071157	16284429	0.773	8075428	1468876	1912201	527030	0	878621
rs_f_138	482847	3599286	7.454	7.816	1320171	6936767	0.658	30689323	23642968	0.77	11786744	2179622	2760803	743185	0	1362745
rs_f_144	493562	4562702	9.244	9.797	1264984	5674606	0.554	28841784	22834859	0.792	11332567	1792933	2449023	715357	0	1049612
rs_f_152	470964	3765488	7.995	8.378	571276	1002702	0.21	13100595	10539922	0.805	5200456	826973	999048	361387	0	373265
rs_f_157	503060	6326028	12.575	13.419	1442980	5170523	0.45	32108453	25451253	0.793	12511722	2196948	2557623	884322	0	1018307
rs_f_158	490096	4903313	10.005	10.548	1308488	6285082	0.562	31147376	24826993	0.797	12330110	1932525	2564811	764345	0	1058702
rs_f_160	576776	9571189	16.594	19.25	1319572	3497073	0.268	34383975	28344431	0.824	13956597	2043466	2331685	948544	0	715849
rs_f_168	417554	6820060	16.333	17.272	702152	1768245	0.206	22188251	18486359	0.833	9195902	1366937	1231495	631867	0	471593
rs_f_178	490429	5466739	11.147	11.763	615525	1491512	0.214	18268913	15088185	0.826	7514409	1202973	1063703	445751	0	468301
rs_f_18	488146	5791299	11.864	12.519	793936	1907107	0.248	20501464	16734851	0.816	8242509	1328778	1407765	582884	0	447186
rs_f_183	463594	1997251	4.308	4.481	369115	1199311	0.375	8828890	7034462	0.797	3468785	612752	682665	243323	0	255688
rs_f_185	445758	1767653	3.965	4.119	548231	2939930	0.625	13521284	10487450	0.776	5231636	958453	1193686	321589	0	560106
rs_f_186	449806	6491902	14.433	15.109	1237188	1392607	0.177	21440800	17434384	0.813	8312687	1282712	1509809	812873	0	401022
rs_f_189	371378	2092082	5.633	5.772	183842	344185	0.141	6181159	5217280	0.844	2597171	350005	324448	176625	0	112801
rs_f_203	488285	5454551	11.171	11.757	633403	1427952	0.207	18020065	14941815	0.829	7425909	1133213	1038955	413381	0	492701
rs_f_204	447504	1842198	4.117	4.278	607050	3382590	0.647	15049571	11660856	0.775	5829018	1049324	1350500	358798	0	630093
rs_f_205	487874	4906481	10.057	10.601	538173	930443	0.159	15288838	12655299	0.828	6280202	947124	869155	412852	0	404408
rs_f_210	482832	4837818	10.02	10.554	731370	1760537	0.267	17991375	14448696	0.803	7118971	1192959	1348604	514909	0	486207
rs_f_214	482481	4424754	9.171	9.625	591688	1311787	0.229	15182897	12472215	0.821	6143986	916257	1038858	414538	0	341029
rs_f_215	28350	29697	1.048	1.048	7583	660	0.022	92326	69872	0.757	31932	5522	8013	7447	0	1472
rs_f_217	415458	1498667	3.607	3.721	261215	323636	0.178	5278650	4104823	0.778	2021305	364805	454596	141984	0	212442
rs_f_228	484398	3068908	6.336	6.664	749494	3492488	0.532	18206910	14538642	0.799	7227752	1136713	1492743	444360	0	594452
rs_f_233	415200	6182166	14.89	15.522	590234	1483098	0.193	19404620	16427039	0.847	8171541	1099216	1006489	494632	0	377244
rs_f_236	495374	5810288	11.729	12.448	642025	1221416	0.174	18331671	15236799	0.831	7563070	1100170	1068521	434724	0	491457
rs_f_240	12859	13154	1.023	1.024	1714	1755	0.118	101370	32824	0.324	16201	3042	3320	60944	0	1240
rs_f_241	416044	6132530	14.74	15.368	588587	1424957	0.189	19257239	16213092	0.842	8067018	1143679	1015109	509978	0	375381
rs_f_257	448876	4145151	9.235	9.644	579157	1143493	0.216	14241704	11598728	0.814	5730927	876504	1030832	392310	0	343330
rs_f_262	33836	35581	1.052	1.053	8652	3721	0.095	129936	90989	0.7	43035	8576	15595	11452	0	3324
rs_f_263	38917	41407	1.064	1.066	6948	7317	0.15	151919	110053	0.724	54381	10130	15094	10959	0	5683
rs_f_270	484674	3305725	6.821	7.124	1124874	6495466	0.663	28064754	21847244	0.778	10921179	1994254	2430216	679440	0	1113600
rs_f_272	370862	2523891	6.805	6.99	223637	432144	0.146	7521508	6332679	0.842	3153007	440875	396978	211688	0	139288
rs_f_290	430730	3427688	7.958	8.327	602297	546749	0.138	10689871	8753688	0.819	4176954	624451	733411	397476	0	180845
rs_f_31	472892	4090956	8.651	9.087	836589	3073230	0.429	19722991	15770221	0.8	7769446	1298685	1540856	548492	0	564737
rs_f_34	479934	4682305	9.756	10.232	535961	1200578	0.204	15551796	12778372	0.822	6359528	1066365	912365	371588	0	423106
rs_f_42	420453	7198070	17.12	17.916	700104	1801930	0.2	22889336	19306974	0.843	9606870	1318967	1213956	610291	0	439148
rs_f_45	484339	6920962	14.289	15.086	815007	2126353	0.235	23766502	19622980	0.826	9760658	1594199	1372886	561907	0	614530
rs_f_46	420553	7057906	16.782	17.54	682575	1761484	0.2	22406923	18906159	0.844	9404194	1325681	1162461	577299	0	435323
rs_f_5	459675	2512157	5.465	5.676	775223	4422918	0.638	19603343	15377756	0.784	7667458	1326531	1656314	523273	0	719469
rs_f_53	479029	2578922	5.384	5.645	651980	2887686	0.528	15346515	12168024	0.793	6049436	954468	1305976	375366	0	542681
rs_f_54	489533	5730810	11.707	12.368	615412	1169186	0.169	17933291	14922772	0.832	7407364	1132332	1007998	411358	0	458831
rs_f_66	476790	4677444	9.81	10.333	688770	1351225	0.224	16397227	13276422	0.81	6558983	1028900	1203114	448942	0	439849
rs_f_79	486522	2995093	6.156	6.482	764761	3404044	0.532	17975214	14238841	0.792	7074943	1150771	1513898	443076	0	628628
rs_f_85	456065	2175478	4.77	4.961	655662	3578011	0.622	16411180	12797875	0.78	6388724	1147930	1426924	401539	0	636912
rs_f_87	480530	2370076	4.932	5.193	722609	3911434	0.623	17773188	13972755	0.786	6968636	1134929	1547416	423792	0	694296
rs_s_10	467722	3541069	7.571	7.909	517063	1201605	0.253	12861174	10370829	0.806	5111092	820042	946668	394457	0	329178
rs_s_106	464881	2491359	5.359	5.586	614051	2816571	0.531	14838530	11774074	0.793	5852093	942632	1241133	375755	0	504936
rs_s_113	213394	297047	1.392	1.399	23942	31750	0.097	827395	703828	0.851	351089	51584	38694	20464	0	12825
rs_s_118	447550	5972122	13.344	13.98	1170972	1249669	0.173	19839722	16023339	0.808	7630576	1241751	1426113	749959	0	398560
rs_s_12	409038	6839362	16.721	17.407	661367	1715768	0.201	21750292	18340496	0.843	9123999	1236596	1137508	629468	0	406224
rs_s_120	435222	6991458	16.064	16.835	1353624	1581526	0.184	23247404	18946422	0.815	9019814	1349321	1652969	883162	0	415530
rs_s_125	419861	6079675	14.48	15.103	613803	1446215	0.192	19247832	16182742	0.841	8043049	1120617	1019543	532382	0	392548
rs_s_127	457227	2064425	4.515	4.701	676296	3824723	0.649	16910615	13132377	0.777	6566933	1200183	1481440	398156	0	698459
rs_s_136	487269	4182248	8.583	9.073	582790	1228490	0.227	14508545	11810631	0.814	5817103	887118	1041641	416942	0	352213
rs_s_140	434635	5752795	13.236	13.82	1080979	1163931	0.168	18796280	15285773	0.813	7288068	1114316	1342931	708344	0	344916
rs_s_15	473667	3554720	7.505	7.849	727440	2593747	0.422	16944116	13541392	0.799	6665485	1120654	1317377	485187	0	479506
rs_s_152	488811	3116147	6.375	6.718	633694	2186928	0.412	14598628	11693966	0.801	5757197	920154	1137733	407677	0	439098
rs_s_164	485221	3211269	6.618	6.967	635659	2262423	0.413	14958136	12034167	0.805	5924816	949679	1142149	408731	0	423410
rs_s_166	478024	4148747	8.679	9.109	589694	1432132	0.257	14954997	12165413	0.813	5994840	946422	1058698	416155	0	368309
rs_s_169	471500	2888961	6.127	6.403	718629	3327936	0.535	17413309	13792314	0.792	6856788	1165086	1438360	446562	0	570987
rs_s_170	481636	3730528	7.746	8.137	780808	2737492	0.423	17828323	14263542	0.8	7014714	1148705	1398526	496067	0	521483
rs_s_172	489026	4987684	10.199	10.758	573077	980178	0.164	15809408	12981650	0.821	6440711	1048010	932314	397204	0	450230
rs_s_175	475406	2405984	5.061	5.301	602935	2699410	0.529	14483904	11356844	0.784	5648515	987517	1252705	369346	0	517492
rs_s_178	474437	2980865	6.283	6.566	709241	3526570	0.542	17842257	14359743	0.805	7143067	1091719	1414673	447009	0	529113
rs_s_182	482383	3945742	8.18	8.596	462078	959900	0.196	13108753	10678725	0.815	5311005	906624	778406	374077	0	370921
rs_s_188	481834	4186154	8.688	9.134	604304	1452108	0.258	15147290	12308879	0.813	6066313	940376	1078809	437570	0	381656
rs_s_196	461608	2226259	4.823	5.017	732154	4116096	0.649	18166629	14141163	0.778	7066654	1275582	1583268	435671	0	730945
rs_s_212	451907	5913301	13.085	13.707	1130172	1179859	0.166	19446329	15704580	0.808	7481248	1251910	1387788	728736	0	373315
rs_s_219	485562	3181816	6.553	6.912	617663	2264627	0.416	14884275	11955024	0.803	5890918	980615	1127337	413918	0	407381
rs_s_223	480870	3054551	6.352	6.682	783702	3626843	0.543	18701756	14837448	0.793	7372352	1196565	1542101	497066	0	628576
rs_s_226	498914	4141997	8.302	8.822	844511	3118389	0.43	20081199	15980853	0.796	7875956	1372786	1581286	556749	0	589525
rs_s_240	479958	3474904	7.24	7.621	513109	1164938	0.251	12695008	10164614	0.801	5011663	859995	928509	399118	0	342772
rs_s_242	405921	5649631	13.918	14.491	547162	1319398	0.189	17886221	14963132	0.837	7446941	1097067	946785	525512	0	353725
rs_s_244	425595	2832872	6.656	6.868	521176	467702	0.142	9010857	7297269	0.81	3475519	567254	644801	345182	0	156351
rs_s_247	406087	5537734	13.637	14.172	520442	1258900	0.185	17284160	14566934	0.843	7249858	1007058	902862	481140	0	326166
rs_s_250	489492	5937708	12.13	12.817	654193	1657981	0.218	19632648	16419993	0.836	8170111	1199340	1091363	439864	0	482088
rs_s_253	478393	2489225	5.203	5.446	454298	1549791	0.384	10996855	8865379	0.806	4372065	684655	846828	309260	0	290733
rs_s_258	396715	2627289	6.623	6.813	237606	466380	0.151	7895193	6632581	0.84	3301306	478975	414274	221654	0	147709
rs_s_267	483291	4574428	9.465	9.944	473738	849103	0.157	14096434	11715229	0.831	5817960	909261	774444	354802	0	342698
rs_s_27	475714	4479672	9.417	9.872	606056	1405252	0.239	15709590	12794632	0.814	6303652	1031990	1079404	457476	0	346088
rs_s_278	481458	4164510	8.65	9.092	561843	1273697	0.234	14510835	11828435	0.815	5828385	927335	1020992	405132	0	328941
rs_s_283	489247	7648955	15.634	16.5	826068	1766055	0.188	24425218	20346151	0.833	10105073	1516572	1378412	587383	0	596700
rs_s_285	484059	3280915	6.778	7.122	649450	2318928	0.414	15411210	12315022	0.799	6065729	1029994	1201137	431925	0	433132
rs_s_287	483094	4127452	8.544	9.008	623979	1449726	0.26	15036578	12217146	0.812	6015989	906656	1083920	428658	0	400198
rs_s_290	425852	6037694	14.178	14.807	1139003	1312156	0.179	20035242	16233613	0.81	7744760	1236415	1429193	774329	0	361692
rs_s_291	477107	3134202	6.569	6.886	793587	3697041	0.541	19040578	15155030	0.796	7530200	1210875	1565811	478396	0	630466
rs_s_30	416754	5861247	14.064	14.63	547483	1383254	0.191	18317633	15511994	0.847	7720010	1045917	939340	480687	0	339695
rs_s_302	451057	1881342	4.171	4.334	363260	1126611	0.375	8280045	6640010	0.802	3268797	501592	655302	230604	0	252537
rs_s_306	433800	1649787	3.803	3.933	513431	2818818	0.631	12759898	9940323	0.779	4958287	877429	1121771	306999	0	513376
rs_s_31	485865	5999174	12.347	12.99	672314	1674445	0.218	19864153	16606902	0.836	8260969	1174443	1117429	488662	0	476717
rs_s_316	477824	2924275	6.12	6.411	594967	2056858	0.413	13669574	10975729	0.803	5399629	861143	1048107	388055	0	396540
rs_s_321	2449	2462	1.005	1.005	334	405	0.141	16933	6325	0.374	3124	548	612	9221	0	227
rs_s_33	516626	15093088	29.215	31.513	2202694	6833026	0.312	58179352	47769079	0.821	23640271	3575826	4037619	1641244	0	1155584
rs_s_331	441682	1799244	4.074	4.219	603488	3296220	0.647	14618672	11378905	0.778	5679953	977946	1276758	382673	0	602390
rs_s_344	45562	48875	1.073	1.074	5012	11545	0.191	161931	129580	0.8	64148	10067	9993	9726	0	2565
rs_s_35	476318	2964013	6.223	6.528	618441	2086785	0.413	13995991	11155798	0.797	5486559	905665	1106119	411800	0	416609
rs_s_353	460733	2653938	5.76	5.989	348559	631452	0.192	8791806	7189277	0.818	3555328	530188	626507	243392	0	202442
rs_s_356	473744	3628520	7.659	8.022	473831	1054392	0.225	12422855	10165324	0.818	5008581	751106	871762	365358	0	269305
rs_s_36	437715	1771395	4.047	4.193	577088	3215519	0.645	14347630	11125215	0.775	5561213	1016399	1256692	369760	0	579564
rs_s_360	440463	2078103	4.718	4.871	660438	3827182	0.648	16771902	13123954	0.782	6558231	1121232	1468879	420445	0	637392
rs_s_363	475728	3770049	7.925	8.284	434678	902780	0.193	12404874	10159223	0.819	5051716	852647	746057	292057	0	354890
rs_s_369	452489	2042741	4.514	4.682	666465	3749236	0.647	16549845	12907105	0.78	6448663	1134405	1451386	401066	0	655883
rs_s_371	440782	1651484	3.747	3.872	514509	2777612	0.627	12687954	9857304	0.777	4913699	882850	1127043	304959	0	515798
rs_s_379	439459	1910543	4.347	4.496	251717	482740	0.202	6407608	5213927	0.814	2568927	410075	452849	181579	0	149178
rs_s_381	417359	5708001	13.676	14.278	1089278	1180846	0.171	18790090	15233060	0.811	7254935	1141179	1351422	722047	0	342382
rs_s_383	375479	981310	2.613	2.678	294060	1502399	0.605	7176563	5564189	0.775	2786420	479316	650552	170169	0	312337
rs_s_4	479287	4078039	8.509	8.957	676389	1160237	0.221	14820235	11676013	0.788	5761348	1003582	1201035	434474	0	505131
rs_s_44	435357	1720159	3.951	4.087	562089	3128582	0.645	13855068	10808368	0.78	5397538	933471	1210284	343199	0	559746
rs_s_64	480605	3132870	6.519	6.839	771795	3669281	0.539	18935450	15072035	0.796	7498089	1200753	1562939	493497	0	606226
rs_s_65	399717	6340317	15.862	16.575	606398	1583027	0.2	20067550	16977581	0.846	8447839	1120955	1043594	548146	0	377274
rs_s_69	426314	1635135	3.836	3.957	374915	1812649	0.526	9518379	7611055	0.8	3788356	612413	765440	236538	0	292933
rs_s_73	459576	2053587	4.468	4.637	698533	3702615	0.643	16636955	12892134	0.775	6437399	1125599	1502502	412537	0	704183
rs_s_76	512006	13975294	27.295	29.389	2005787	6051571	0.302	53055495	43619422	0.822	21586770	3208602	3681097	1501343	0	1045031
rs_s_8	471482	4896073	10.384	10.891	755441	1823452	0.271	18360776	14725298	0.802	7250332	1206298	1378486	565236	0	485458
rs_s_83	493604	5176400	10.487	11.089	558026	963345	0.157	15957443	13302725	0.834	6604954	954511	903627	385923	0	410657
rs_s_84	478141	2884747	6.033	6.326	711099	3317958	0.535	17351056	13756857	0.793	6843053	1145612	1433627	451246	0	563714
rs_s_85	441492	1833422	4.153	4.298	570277	3052314	0.625	13939180	10884797	0.781	5428784	925303	1231971	342833	0	554276
rs_s_87	427769	6737638	15.751	16.457	1318486	1499269	0.182	22474556	18226978	0.811	8671585	1374339	1600807	878982	0	393450
